,band,instrument,mjd,magpsf,sigmamagpsf
295,ZTF_r,P48+ZTF,58540.5472338,99,99
296,ZTF_g,P48+ZTF,58681.1856019,18.2253938663148,0.031738751588222
297,ZTF_r,P48+ZTF,58775.1026042,18.5002303813793,0.024103693232916
298,ZTF_g,P48+ZTF,58727.1702778,18.423329876784,0.015275421347161
299,ZTF_g,P48+ZTF,58639.2565046,18.4730790407999,0.01465854902532
300,ZTF_g,P48+ZTF,58697.2069676,18.2072903997461,0.011282750046429
301,ZTF_r,P48+ZTF,58666.2538542,18.1893486024027,0.012186928780736
302,ZTF_g,P48+ZTF,58598.4440278,99,99
303,ZTF_g,P48+ZTF,58572.4841204,99,99
304,ZTF_r,P48+ZTF,58654.2123264,18.2123754815269,0.013560370799453
305,ZTF_i,P48+ZTF,58652.2564236,18.1928010010693,0.03545752393197
306,ZTF_r,P48+ZTF,58642.2449769,18.3599665246227,0.013496334940109
307,ZTF_r,P48+ZTF,58657.3823495,18.2314389399334,0.020085506501845
308,ZTF_r,P48+ZTF,58761.1200116,18.5042384203607,0.025793255876078
309,ZTF_i,P48+ZTF,58640.2980208,18.3566607355019,0.023118290549215
310,ZTF_g,P48+ZTF,58701.2083218,99,99
311,ZTF_r,P48+ZTF,58596.4168403,99,99
312,ZTF_r,P48+ZTF,58580.4805903,99,99
313,ZTF_r,P48+ZTF,58663.3025116,18.1637103924375,0.012884367445411
314,ZTF_i,P48+ZTF,58663.1844676,18.0807406807619,0.022343659653773
315,ZTF_g,P48+ZTF,58600.39875,21.1410806069293,0.143374553696419
316,ZTF_g,P48+ZTF,58572.5217708,99,99
317,ZTF_r,P48+ZTF,58574.330162,99,99
318,ZTF_r,P48+ZTF,58294.3097106,99,99
319,ZTF_g,P48+ZTF,58764.1999769,18.6637674741285,0.068055514034497
320,ZTF_r,P48+ZTF,58388.221713,99,99
321,ZTF_g,P48+ZTF,58386.1251968,99,99
322,ZTF_r,P48+ZTF,58387.1445718,99,99
323,ZTF_r,P48+ZTF,58362.1529514,99,99
324,ZTF_i,P48+ZTF,58986.333912,18.5859403866756,0.026040142827134
325,ZTF_r,P48+ZTF,58384.1511806,99,99
326,ZTF_g,P48+ZTF,58249.3534259,99,99
327,ZTF_i,P48+ZTF,58278.1822917,99,99
328,ZTF_r,P48+ZTF,58355.2529282,99,99
329,ZTF_g,P48+ZTF,58574.3770833,99,99
330,ZTF_g,P48+ZTF,58361.1851852,99,99
331,ZTF_g,P48+ZTF,58374.2456366,99,99
332,ZTF_g,P48+ZTF,58381.1702662,99,99
333,ZTF_g,P48+ZTF,58352.1902546,99,99
334,ZTF_r,P48+ZTF,58359.2473843,99,99
335,ZTF_r,P48+ZTF,58377.1446991,99,99
336,ZTF_g,P48+ZTF,58386.1120255,99,99
337,ZTF_g,P48+ZTF,58383.2116088,99,99
338,ZTF_r,P48+ZTF,58389.1114699,99,99
339,ZTF_g,P48+ZTF,58375.2131134,99,99
340,ZTF_g,P48+ZTF,58380.172662,99,99
341,ZTF_r,P48+ZTF,58390.2218287,99,99
342,ZTF_g,P48+ZTF,58386.1422569,99,99
343,ZTF_g,P48+ZTF,58289.3995255,99,99
344,ZTF_g,P48+ZTF,58371.2049769,99,99
345,ZTF_r,P48+ZTF,58289.2689815,99,99
346,ZTF_r,P48+ZTF,58375.1720833,99,99
347,ZTF_r,P48+ZTF,58350.1932176,99,99
348,ZTF_r,P48+ZTF,58290.3724537,99,99
349,ZTF_g,P48+ZTF,58311.2537269,99,99
350,ZTF_g,P48+ZTF,58556.4448958,99,99
351,ZTF_g,P48+ZTF,58557.4570139,99,99
352,ZTF_g,P48+ZTF,58235.3790972,99,99
353,ZTF g,P48+ZTF,58210.4850463,99,99
354,ZTF g,P48+ZTF,58210.4485301,99,99
355,ZTF_r,P48+ZTF,58543.4766898,99,99
356,ZTF g,P48+ZTF,58211.4223611,99,99
357,ZTF_r,P48+ZTF,58572.4760185,99,99
358,ZTF_g,P48+ZTF,58320.1895949,99,99
359,ZTF_g,P48+ZTF,58385.1302315,99,99
360,ZTF_g,P48+ZTF,58389.1294792,99,99
361,ZTF_r,P48+ZTF,58385.1905787,99,99
362,ZTF_r,P48+ZTF,58353.2478819,99,99
363,ZTF_g,P48+ZTF,58369.2466435,99,99
364,ZTF_r,P48+ZTF,58353.2464699,99,99
365,ZTF_r,P48+ZTF,58382.1138079,99,99
366,ZTF_r,P48+ZTF,58383.1513657,99,99
367,ZTF_r,P48+ZTF,58383.1323843,99,99
368,ZTF_r,P48+ZTF,58385.2103935,99,99
369,ZTF_g,P48+ZTF,58397.0993403,99,99
370,ZTF_r,P48+ZTF,58575.4189583,99,99
371,ZTF_g,P48+ZTF,58319.1898264,99,99
372,ZTF_g,P48+ZTF,58350.2498611,99,99
373,ZTF_g,P48+ZTF,58540.4979282,99,99
374,ZTF_r,P48+ZTF,58386.1967245,99,99
375,ZTF g,P48+ZTF,58210.4631481,99,99
376,ZTF_r,P48+ZTF,58354.2495949,99,99
377,ZTF_g,P48+ZTF,58383.2068403,99,99
378,ZTF_r,P48+ZTF,58352.2575579,99,99
379,ZTF_r,P48+ZTF,58386.214919,99,99
380,ZTF_g,P48+ZTF,58304.3111921,99,99
381,ZTF_g,P48+ZTF,58311.3259606,99,99
382,ZTF_g,P48+ZTF,58227.3364005,99,99
383,ZTF_r,P48+ZTF,58383.1123611,99,99
384,ZTF_r,P48+ZTF,58541.5018634,99,99
385,ZTF_g,P48+ZTF,58543.5266319,99,99
386,ZTF_g,P48+ZTF,58380.117662,99,99
387,ZTF_g,P48+ZTF,58301.2751273,99,99
388,ZTF_r,P48+ZTF,58360.2345949,99,99
389,ZTF_g,P48+ZTF,58384.2375231,99,99
390,ZTF_g,P48+ZTF,58365.2142477,99,99
391,ZTF_g,P48+ZTF,58364.2146875,99,99
392,ZTF_r,P48+ZTF,58326.3330556,99,99
393,ZTF_g,P48+ZTF,58382.2214815,99,99
394,ZTF_g,P48+ZTF,58323.3656481,99,99
395,ZTF_g,P48+ZTF,58377.2444907,99,99
396,ZTF_g,P48+ZTF,58382.2058681,99,99
397,ZTF_r,P48+ZTF,58543.4757755,99,99
398,ZTF_g,P48+ZTF,58390.1317477,99,99
399,ZTF_r,P48+ZTF,58385.1863079,99,99
400,ZTF_r,P48+ZTF,58561.417037,99,99
401,ZTF_r,P48+ZTF,58289.2459375,99,99
402,ZTF_r,P48+ZTF,58308.3374769,99,99
403,ZTF_r,P48+ZTF,58217.4254051,99,99
404,ZTF_i,P48+ZTF,58228.505081,99,99
405,ZTF_r,P48+ZTF,58287.2746296,99,99
406,ZTF_g,P48+ZTF,58340.3242708,99,99
407,ZTF_g,P48+ZTF,58269.3142708,99,99
408,ZTF_g,P48+ZTF,58322.1677083,99,99
409,ZTF_g,P48+ZTF,58313.316875,99,99
410,ZTF_r,P48+ZTF,58217.4118287,99,99
411,ZTF_r,P48+ZTF,58328.2941319,99,99
412,ZTF_r,P48+ZTF,58230.4601042,99,99
413,ZTF_r,P48+ZTF,58288.3159144,99,99
414,ZTF_r,P48+ZTF,58272.3333912,99,99
415,ZTF_r,P48+ZTF,58299.3533218,99,99
416,ZTF_g,P48+ZTF,58282.2753356,99,99
417,ZTF_g,P48+ZTF,58255.3767593,99,99
418,ZTF_g,P48+ZTF,58258.3147801,99,99
419,ZTF_g,P48+ZTF,58259.4150347,99,99
420,ZTF_r,P48+ZTF,58281.3168287,99,99
421,ZTF_i,P48+ZTF,58267.2563079,99,99
422,ZTF_g,P48+ZTF,58333.1718519,99,99
423,ZTF_r,P48+ZTF,58286.295,99,99
424,ZTF_r,P48+ZTF,58218.3899769,99,99
425,ZTF_g,P48+ZTF,58234.4792593,99,99
426,ZTF_g,P48+ZTF,58252.4230093,99,99
427,ZTF_g,P48+ZTF,58332.1904861,99,99
428,ZTF_r,P48+ZTF,58226.4202662,99,99
429,ZTF_g,P48+ZTF,58282.3797222,99,99
430,ZTF_r,P48+ZTF,58281.3516435,99,99
431,ZTF_r,P48+ZTF,58216.4031829,99,99
432,ZTF_r,P48+ZTF,58217.5032523,99,99
433,ZTF_g,P48+ZTF,58305.2113426,99,99
434,ZTF_r,P48+ZTF,58226.4789005,99,99
435,ZTF_r,P48+ZTF,58258.4200116,99,99
