,band,telescope,obsmjd,mag,mag_err,alert
347,ZTF_g,P48,58684.1913657,18.2755576628556,0.011609277036499542,False
348,ZTF_g,P48,58684.2111806,18.297752493933448,0.013920665421124714,False
349,ZTF_g,P48,58684.21208330001,18.30193308486796,0.014308171513576684,False
350,ZTF_g,P48,58685.16888890001,18.257340842584465,0.01708615469139904,False
351,ZTF_g,P48,58685.2061921,18.280697113229927,0.01221956877005419,False
352,ZTF_g,P48,58685.291412,18.2446937332705,0.018935846058478683,False
353,ZTF_i,P48,58685.3056481,17.94033175827301,0.020356278976259447,False
354,ZTF_r,P48,58685.32341440001,18.108718683886913,0.016836363387729862,False
355,ZTF_g,P48,58686.2085648,18.249463629428835,0.010549876502944672,False
356,ZTF_g,P48,58686.28563659999,18.283282210872766,0.016341768579225868,False
357,ZTF_r,P48,58686.3058796,18.12128525494413,0.015800252487543485,False
358,ZTF_g,P48,58690.1909954,18.24359534526828,0.011568703239907,False
359,ZTF_g,P48,58690.276331,18.229728827192865,0.011353213284852415,False
360,ZTF_i,P48,58690.3285995,17.965531853727825,0.016216273998233145,False
361,ZTF_r,P48,58691.18685190001,18.106642515849877,0.011007296633446505,False
362,ZTF_r,P48,58691.1911343,18.08182762951581,0.012242298122107366,False
363,ZTF_g,P48,58691.2265741,18.244981280887632,0.011451352459679558,False
364,ZTF_g,P48,58691.2275231,18.232053908222863,0.01081123238661418,False
365,ZTF_g,P48,58691.3104745,18.261288479301623,0.01192598641816833,False
366,ZTF_g,P48,58693.23701390001,18.237343994442007,0.014434674730141896,False
367,ZTF_g,P48,58693.28804400001,18.243936798059625,0.01357672777183102,False
368,ZTF_r,P48,58694.2087269,18.078166512282905,0.012889639280275872,False
369,ZTF_g,P48,58694.2278125,18.24469681967604,0.011265561149266013,False
370,ZTF_r,P48,58695.23377309999,18.19714984989928,0.014407776409033337,False
371,ZTF_g,P48,58696.2603819,18.203563163174298,0.011386779167045313,False
372,ZTF_r,P48,58696.3477778,18.069770854074214,0.013430381465874268,False
373,ZTF_r,P48,58697.15767359999,17.988468449242504,0.01553737017281964,False
374,ZTF_r,P48,58697.1680324,18.026977430678595,0.011048644786120195,False
375,ZTF_g,P48,58697.2055556,18.22092813971714,0.01183848787548596,False
376,ZTF_g,P48,58697.2069676,18.207261340440873,0.011309866243857757,False
377,ZTF_r,P48,58698.1588773,18.072406541550148,0.036987363196009086,False
378,ZTF_g,P48,58698.1931134,18.19261225220205,0.0159863999262314,False
379,ZTF_g,P48,58699.180787,18.180335222134484,0.013447709838541731,False
380,ZTF_g,P48,58699.2025926,18.223170829445245,0.011593016734459534,False
381,ZTF_r,P48,58700.1730556,18.008343780554053,0.010007852650704684,False
382,ZTF_r,P48,58700.17401619999,18.01837519501605,0.011599544219665577,False
383,ZTF_g,P48,58700.25699069999,18.196532021053322,0.013236378207858758,False
384,ZTF_r,P48,58702.1704051,18.068625500663128,0.07938513875654821,False
385,ZTF_i,P48,58703.16366900001,17.906810535502604,0.02256549907754139,False
