index,filter,magpsf,sigmamagpsf,instrument,mjd
412,g,18.95,0.12,P48+ZTF,58911.5373999998
413,g,18.95,0.12,P48+ZTF,58911.5373999998
414,g,18.92,0.11,P48+ZTF,58914.4640000002
415,g,18.92,0.11,P48+ZTF,58914.4640000002
416,r,18.75,0.08,P48+ZTF,58914.5359
417,r,18.75,0.08,P48+ZTF,58914.5359
418,g,19.09,0.12,P48+ZTF,58936.4983999999
419,r,18.79,0.1,P48+ZTF,58936.5068999999
420,g,18.6,0.26,P48+ZTF,58939.4654999999
421,g,19.12,0.16,P48+ZTF,58943.4437000002
422,r,18.82,0.1,P48+ZTF,58943.4813999999
423,r,18.9,0.1,P48+ZTF,58953.4564999999
424,i,18.54,0.11,P48+ZTF,58953.46
425,g,19.15,0.13,P48+ZTF,58954.4325999999
426,r,19.3,0.21,P48+ZTF,58956.4854000001
427,r,19.3,0.21,P48+ZTF,58956.4854000001
428,r,18.9,0.1,P48+ZTF,58961.4578999998
429,i,18.59,0.1,P48+ZTF,58962.4331999999
430,i,18.59,0.1,P48+ZTF,58962.4331999999
431,g,19.21,0.1,P48+ZTF,58964.3824
432,g,19.21,0.1,P48+ZTF,58964.3824
433,r,18.96,0.08,P48+ZTF,58964.4227
434,r,18.96,0.08,P48+ZTF,58964.4227
435,i,18.55,0.08,P48+ZTF,58966.4844
436,r,18.98,0.1,P48+ZTF,58967.3829999999
437,g,19.29,0.16,P48+ZTF,58967.4361999999
438,r,19.06,0.1,P48+ZTF,58970.4142999998
439,g,19.3,0.11,P48+ZTF,58970.4644999998
440,i,18.72,0.08,P48+ZTF,58971.4613999999
441,r,18.96,0.11,P48+ZTF,58973.3539
442,g,19.3,0.11,P48+ZTF,58973.4641
443,i,18.6,0.14,P48+ZTF,58976.4196000001
444,r,19.05,0.12,P48+ZTF,58980.3143000002
445,r,19.05,0.12,P48+ZTF,58980.3143000002
446,i,18.63,0.09,P48+ZTF,58980.3760000002
447,i,18.63,0.09,P48+ZTF,58980.3760000002
448,g,19.3,0.18,P48+ZTF,58980.3985000001
449,g,19.3,0.18,P48+ZTF,58980.3985000001
450,r,19.1,0.09,P48+ZTF,58984.4019999998
451,r,19.05,0.11,P48+ZTF,58985.3780999999
452,r,19.05,0.11,P48+ZTF,58985.3780999999
453,g,19.4,0.13,P48+ZTF,58985.4210000001
454,g,19.4,0.13,P48+ZTF,58985.4210000001
455,r,19.08,0.09,P48+ZTF,58986.2951000002
456,r,19.08,0.09,P48+ZTF,58986.2951000002
457,i,18.67,0.08,P48+ZTF,58986.3339
458,g,19.3,0.08,P48+ZTF,58986.3966000001
459,g,19.3,0.09,P48+ZTF,58986.3966000001
460,r,19.1,0.09,P48+ZTF,58987.3314
461,r,19.1,0.09,P48+ZTF,58987.3314
462,g,19.4,0.11,P48+ZTF,58987.4298999999
463,r,19.02,0.1,P48+ZTF,58991.273
464,g,19.33,0.11,P48+ZTF,58991.3187000002
465,i,18.64,0.11,P48+ZTF,58991.3358
466,r,19.03,0.08,P48+ZTF,58992.2940000002
467,g,19.34,0.12,P48+ZTF,58992.3328999998
468,g,19.34,0.12,P48+ZTF,58992.3328999998
469,g,19.32,0.11,P48+ZTF,58994.415
470,r,19.08,0.08,P48+ZTF,58995.2751000002
471,r,19.08,0.08,P48+ZTF,58995.2751000002
472,g,19.37,0.11,P48+ZTF,58995.3201000001
473,g,19.37,0.11,P48+ZTF,58995.3201000001
474,r,19.14,0.09,P48+ZTF,58996.3102000002
475,r,19.16,0.08,P48+ZTF,58997.2985
476,r,19.16,0.08,P48+ZTF,58997.2985
477,i,18.66,0.1,P48+ZTF,58997.3163999999
478,i,18.66,0.1,P48+ZTF,58997.3163999999
479,g,19.43,0.09,P48+ZTF,58997.3829999999
480,g,19.43,0.09,P48+ZTF,58997.3829999999
481,g,19.34,0.1,P48+ZTF,58998.3626000001
482,g,19.34,0.1,P48+ZTF,58998.3626000001
483,r,19.12,0.11,P48+ZTF,58999.3366999999
484,g,19.38,0.14,P48+ZTF,58999.4008999998
485,r,19.43,0.11,P48+ZTF,59000.3339
486,r,19.43,0.11,P48+ZTF,59000.3339
487,r,19.1,0.11,P48+ZTF,59000.3942
488,r,19.1,0.11,P48+ZTF,59000.3942
489,r,19.32,0.04,P48+ZTF,59001.2933999999
490,r,19.32,0.04,P48+ZTF,59001.2933999999
491,i,18.75,0.09,P48+ZTF,59001.3316000002
492,i,18.75,0.09,P48+ZTF,59001.3316000002
493,g,19.35,0.14,P48+ZTF,59001.3931
494,g,19.35,0.14,P48+ZTF,59001.3931
495,g,19.24,0.21,P48+ZTF,59004.2212999999
496,r,19.15,0.13,P48+ZTF,59004.2873999998
497,r,19.15,0.13,P48+ZTF,59004.2873999998
498,g,19.42,0.31,P48+ZTF,59005.2247000001
499,i,18.78,0.12,P48+ZTF,59009.3165000002
500,r,19.21,0.16,P48+ZTF,59009.3621999999
501,g,19.45,0.1,P48+ZTF,59012.3125
502,g,19.45,0.1,P48+ZTF,59012.3125
503,g,19.55,0.14,P48+ZTF,59015.3097000001
